name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
#30_-1_-1_10000000_-1_-1_1000000_-1_-1_30_-1_2000_4_0
ANA071^1,0.012102,0.018345,0.005434,0.032,-1,-1,0,0,1,1
ANA072^1,0.009988,0.016446,0.005359,0.029,-1,-1,0,0,1,1
DAT282^1,0.010519,0.019001,0.000226,0.037,-1,-1,49,0,0,1
SCT177_5,0.020056,0.024761,0.000218,0.038,-1,-1,0,0,0,0
LCL755_5,0.029556,0.040093,0.002083,0.060,-1,-1,0,0,1,1
ITP101^2,0.059964,0.096744,0.001285,0.117,-1,-1,199,0,1,1
SWW504_5,0.031165,0.115479,0.002711,0.126,-1,-1,336,0,1,1
ITP123^2,0.044492,0.053908,0.006617,0.112,-1,-1,0,0,1,1
ANA092^1,0.010033,0.016082,0.007411,0.036,-1,-1,0,0,1,1
ITP042^2,0.102579,2.136197,0.000237,29.895,-1,-1,35628,0,0,-1
COM179^1,0.109691,1.002646,0.000242,29.943,-1,-1,11497,0,0,-1
ANA084^1,0.009244,0.015448,0.004188,0.026,-1,-1,0,0,1,1
LCL752_5,0.058013,-1.0,0.000278,30.069,-1,-1,-1,-1,0,-1
NUM966_5,0.020531,0.045141,0.000211,30.075,-1,-1,126,0,0,-1
COM068_5,0.104243,-1.0,0.000304,30.118,-1,-1,-1,-1,0,-1
ANA088^1,0.009326,0.016312,0.000232,30.052,-1,-1,8,0,0,-1
ANA108^1,0.009322,0.015369,0.004499,0.027,-1,-1,0,0,1,1
COM072_5,0.121750,-1.0,0.000273,30.136,-1,-1,-1,-1,0,-1
SWV597_5,0.024184,0.047909,0.000177,30.182,-1,-1,80,0,0,-1
LCL829_5,0.107081,-1.0,0.000224,30.118,-1,-1,-1,-1,0,-1
DAT306^1,0.010175,0.019577,0.000218,30.240,-1,-1,30,0,0,-1
LCL820_5,0.226846,-1.0,0.000249,30.249,-1,-1,-1,-1,0,-1
DAT151^1,0.071123,0.106588,0.000283,30.253,-1,-1,198,0,0,-1
COM114_5,0.268323,-1.0,0.000275,30.289,-1,-1,-1,-1,0,-1
SCT229_5,0.091983,-1.0,0.000204,30.103,-1,-1,-1,-1,0,-1
COM200^1,0.077470,0.230352,0.000247,30.359,-1,-1,808,0,0,-1
COM109_5,0.335721,-1.0,0.000309,30.363,-1,-1,-1,-1,0,-1
ITP004^3,0.012462,0.023014,0.000235,30.396,-1,-1,25,0,0,-1
COM037_5,0.039337,0.074488,0.000235,30.184,-1,-1,196,0,0,-1
DAT184^1,0.106037,0.368655,0.000217,30.480,-1,-1,2023,0,0,-1
