name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
#30_-1_2_9_100_1_6_10_-1_30_2_2000_4_10
DAT282^1,-1.0,-1.0,-1.0,0.010,-1,-1,-1,-1,-1,1
SCT177_5,-1.0,-1.0,-1.0,0.034,-1,-1,-1,-1,-1,0
ANA071^1,0.023099,0.001445,0.004390,0.051,1,19,0,0,1,1
ANA072^1,0.024236,0.001747,0.006447,0.056,1,16,0,0,1,1
LCL755_5,0.025450,0.003393,0.002592,0.060,0,84,0,0,1,1
ANA092^1,0.019304,0.001605,0.009695,0.050,0,19,0,0,1,1
ANA084^1,0.021548,0.001583,0.004493,0.050,1,17,0,0,1,1
ANA108^1,0.029178,0.004197,0.002658,0.049,12,13,0,0,1,1
ITP123^2,0.058349,0.011685,0.004865,0.147,0,205,0,0,1,1
SCT229_5,-1.0,-1.0,-1.0,0.094,-1,-1,-1,-1,-1,1
ITP101^2,0.080522,0.064336,0.001693,0.201,64,83,398,55,1,1
COM037_5,0.072245,0.055525,0.000860,0.156,46,31,392,47,1,1
SWW504_5,0.047978,0.117042,0.012710,0.275,14,39,560,126,1,1
ITP009^3,0.044923,0.029814,0.014666,0.155,18,58,977,54,1,1
ANA079^1,0.021343,0.001548,0.006367,0.057,2,21,16,2,1,1
DAT124^1,0.124019,0.270851,0.022771,0.829,272,14,3678,495,1,1
ITP165^2,0.131228,0.778491,0.040632,1.831,333,23,14095,1975,1,1
DAT234^1,0.240169,0.249815,0.000318,11.591,217,47,2858,217,0,1
ITP037^2,-1.0,-1.0,-1.0,0.149,-1,-1,-1,-1,-1,1
COM179^1,0.130438,0.917479,0.000448,29.942,266,9,20298,1981,0,-1
ITP004^3,0.025528,0.007360,-1.0,-1.0,15,45,84,12,-1,-1
DAT306^1,0.079420,0.006600,0.000171,30.010,18,8,124,15,0,-1
NUM966_5,0.036443,0.038247,-1.0,-1.0,28,22,448,56,-1,-1
ANA088^1,0.022789,0.002024,-1.0,-1.0,2,22,16,2,-1,-1
SEV462^1,0.196397,0.070638,-1.0,-1.0,36,15,2128,240,-1,-1
SWV597_5,0.032813,0.022445,-1.0,-1.0,10,73,160,20,-1,-1
ITP011_3,0.041688,3.580570,0.000259,-1.0,46,47,14794,526,0,-1
LCL752_5,0.075535,-1.0,-1.0,-1.0,9,130,-1,-1,-1,-1
SWV621_5,0.041614,13.162779,-1.0,-1.0,15,51,12093,134,-1,-1
COM026_5,0.056195,0.229121,-1.0,-1.0,94,22,4859,580,-1,-1
COM200^1,0.069674,0.145704,-1.0,-1.0,101,45,1616,202,-1,-1
SWV665_5,0.096560,0.475631,-1.0,-1.0,124,70,8140,867,-1,-1
DAT151^1,0.074449,0.037979,-1.0,-1.0,55,67,396,55,-1,-1
COM068_5,0.098193,-1.0,-1.0,-1.0,63,43,-1,-1,-1,-1
DAT184^1,0.111486,0.320520,-1.0,-1.0,188,6,3994,803,-1,-1
LCL813_5,0.108437,3.607296,-1.0,-1.0,13,117,11000,175,-1,-1
ITP042^2,0.123809,2.917140,-1.0,-1.0,293,71,62696,1989,-1,-1
LCL829_5,0.114544,-1.0,-1.0,-1.0,70,25,-1,-1,-1,-1
COM072_5,0.122562,-1.0,-1.0,-1.0,63,50,-1,-1,-1,-1
SCT250_5,0.102983,28.550820,0.000248,29.954,47,88,53424,607,0,-1
ITP158^2,0.202762,8.374804,-1.0,-1.0,217,32,49126,1992,-1,-1
SWW546_5,0.034311,0.047139,-1.0,-1.0,35,3,798,116,-1,-1
SEV492^1,0.015262,0.000642,0.009221,0.118,0,17,0,0,1,1
LCL820_5,0.242646,-1.0,-1.0,-1.0,33,104,-1,-1,-1,-1
ITP265^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL837_5,0.062371,0.046539,-1.0,-1.0,4,107,904,35,-1,-1
ITP243^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP280^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SEV493^1,0.015282,0.000549,0.010841,0.148,0,21,0,0,1,1
DAT171^1,0.077848,0.057142,-1.0,-1.0,49,59,390,51,-1,-1
PRO022^1,0.241179,0.683501,0.000406,-1.0,475,5,10000,1005,0,-1
COM109_5,0.333118,-1.0,-1.0,-1.0,98,30,-1,-1,-1,-1
ITP018_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP177^2,0.179634,-1.0,-1.0,-1.0,296,30,-1,-1,-1,-1
COM114_5,0.394931,-1.0,-1.0,-1.0,84,27,-1,-1,-1,-1
ITP230^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP250^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP281^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT205_5,0.221468,-1.0,-1.0,-1.0,75,90,-1,-1,-1,-1
ITP121^2,0.051569,0.009354,0.006457,0.243,0,143,0,0,1,1
SWW567_5,0.337283,-1.0,-1.0,-1.0,77,39,-1,-1,-1,-1
NUM970_5,0.034614,0.033052,0.002861,0.162,13,100,208,26,1,1
ITP290^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP238^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
NUM985_5,0.042601,0.060042,-1.0,-1.0,30,85,480,60,-1,-1
ITP192^2,0.157665,0.114639,0.027409,0.656,62,239,1180,290,1,1
DAT229^1,0.137538,0.330041,0.027960,1.169,273,16,5279,546,1,1
ITP168^2,0.161484,0.498599,0.031950,1.145,105,318,10456,948,1,1
SWW533_5,0.053923,0.238826,0.019132,0.488,62,4,4326,424,1,1
LCL763_5,0.106626,0.621220,0.024832,1.140,60,110,9820,446,1,1
ITP019^3,0.014682,0.000943,0.002209,0.042,7,31,0,0,1,1
COM168^1,0.085012,0.182709,-1.0,-1.0,120,78,2510,318,-1,-1
