name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
#30_-1_2_9_-1_3_12_10_-1_30_2_2000_4_0
DAT282^1,0.008612,0.002221,0.003072,0.023,1,1,58,4,1,1
ITP004^3,0.011307,0.004846,0.003814,0.057,13,12,50,7,1,1
SCT177_5,0.027419,0.000011,0.000488,0.062,0,1,0,0,0,0
ANA071^1,0.009340,0.000333,0.004875,0.078,0,8,0,0,1,1
ANA072^1,0.014540,0.000343,0.005091,0.075,0,8,0,0,1,1
LCL755_5,0.027618,0.007300,0.002687,0.095,0,85,0,0,1,1
ANA088^1,0.023161,0.003298,0.007069,0.079,2,12,16,2,1,1
ANA092^1,0.013839,0.001422,0.006937,0.114,0,13,0,0,1,1
ANA084^1,0.025512,0.000346,0.004928,0.078,0,8,0,0,1,1
SWW504_5,0.056547,0.100312,0.012031,0.302,14,39,560,105,1,1
ANA108^1,0.009415,0.000400,0.004800,0.053,1,8,0,0,1,1
ITP101^2,0.080295,0.066219,0.001271,0.407,64,85,398,55,1,1
ITP123^2,0.076007,0.009751,0.005568,0.293,0,210,0,0,1,1
COM037_5,0.126447,0.053042,0.001452,0.369,46,28,392,47,1,1
ANA079^1,0.009937,0.002116,0.005404,0.090,2,12,16,2,1,1
ITP009^3,0.067623,0.027228,0.014474,0.303,13,59,951,45,1,1
DAT124^1,0.104820,0.276625,0.014800,0.999,272,16,3678,495,1,1
ITP165^2,0.141863,0.764759,0.038552,3.396,333,24,13656,1975,1,1
COM179^1,0.326065,0.840082,0.057791,4.239,265,11,18538,1979,1,1
ITP037^2,0.202733,0.544102,0.000270,1.212,284,13,7806,860,0,1
DAT234^1,0.252736,0.249152,0.000227,26.487,218,48,2866,218,0,1
ITP265^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP011_3,0.035927,4.850353,0.000253,29.786,46,53,15609,514,0,-1
SEV462^1,0.011505,0.023022,0.000253,-1.0,12,2,557,78,0,-1
SWV597_5,0.023858,0.023542,-1.0,-1.0,10,74,160,20,-1,-1
NUM966_5,0.020547,0.030780,-1.0,-1.0,32,12,252,32,-1,-1
LCL752_5,0.066467,-1.0,-1.0,-1.0,9,132,-1,-1,-1,-1
DAT306^1,0.010526,0.004406,0.000248,-1.0,8,3,60,8,0,-1
SWV621_5,0.050815,15.138318,-1.0,-1.0,15,52,12359,137,-1,-1
COM200^1,0.068829,0.153636,-1.0,-1.0,101,45,1616,202,-1,-1
DAT151^1,0.077492,0.036640,-1.0,-1.0,55,70,396,55,-1,-1
DAT184^1,0.116056,0.334392,-1.0,-1.0,190,8,3930,756,-1,-1
COM068_5,0.096419,-1.0,-1.0,-1.0,63,30,-1,-1,-1,-1
COM026_5,0.052856,0.233192,-1.0,-1.0,94,22,4843,531,-1,-1
COM072_5,0.114863,-1.0,-1.0,-1.0,63,37,-1,-1,-1,-1
ITP158^2,0.203643,8.607080,-1.0,-1.0,219,23,47676,1996,-1,-1
SWV665_5,0.208212,0.499280,-1.0,-1.0,124,71,8137,861,-1,-1
LCL820_5,0.225970,-1.0,-1.0,-1.0,19,105,-1,-1,-1,-1
LCL813_5,0.165257,3.336939,-1.0,-1.0,13,118,9671,175,-1,-1
COM109_5,0.319742,-1.0,-1.0,-1.0,98,32,-1,-1,-1,-1
LCL829_5,0.231934,-1.0,-1.0,-1.0,70,26,-1,-1,-1,-1
SEV493^1,0.010173,0.001477,0.008348,0.125,0,17,0,0,1,1
ITP243^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW546_5,0.095839,0.048023,0.000237,-1.0,39,1,646,102,0,-1
PRO022^1,0.357697,0.699141,0.000284,30.217,478,5,10030,1011,0,-1
COM114_5,0.451918,-1.0,-1.0,-1.0,85,27,-1,-1,-1,-1
ITP042^2,0.411002,3.385119,-1.0,-1.0,293,71,65820,1987,-1,-1
SCT229_5,0.283509,-1.0,-1.0,-1.0,50,31,-1,-1,-1,-1
LCL837_5,0.081186,0.055795,-1.0,-1.0,4,105,903,37,-1,-1
ITP018_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT250_5,0.183182,-1.0,-1.0,-1.0,47,75,-1,-1,-1,-1
ITP280^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT171^1,0.150190,0.057136,-1.0,-1.0,49,62,390,51,-1,-1
ITP230^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
NUM985_5,0.042470,0.065458,-1.0,-1.0,30,85,480,60,-1,-1
ITP177^2,0.453900,-1.0,-1.0,-1.0,289,26,-1,-1,-1,-1
ITP250^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP281^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
COM168^1,0.090561,0.186878,-1.0,-1.0,120,78,2510,320,-1,-1
SCT205_5,0.434400,-1.0,-1.0,-1.0,75,72,-1,-1,-1,-1
ITP121^2,0.064870,0.009036,0.004181,0.337,0,150,0,0,1,1
ITP290^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW567_5,0.711070,-1.0,-1.0,-1.0,80,30,-1,-1,-1,-1
NUM970_5,0.106315,0.033507,0.002962,0.378,13,101,208,26,1,1
ITP238^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP192^2,0.326209,0.122139,0.029475,1.449,62,239,1180,290,1,1
DAT229^1,0.358553,0.368594,0.012087,2.196,273,9,5279,546,1,1
ITP168^2,0.302730,0.487836,0.044239,2.384,105,318,10456,916,1,1
LCL763_5,0.087501,0.758229,0.033462,1.568,48,107,10158,455,1,1
ITP019^3,0.035970,0.002337,0.002133,0.127,6,33,0,0,1,1
SWW533_5,0.112102,0.236116,0.014864,1.193,62,8,4272,390,1,1
DAT192^1,0.397048,0.476320,0.033698,4.281,332,2,6370,1187,1,1
DAT275^1,0.009741,0.001271,0.000202,-1.0,2,1,16,0,0,-1
ITP200^2,0.392925,0.410864,0.032428,3.385,144,133,10960,792,1,1
ITP028^2,0.419064,1.273174,0.093733,6.948,149,13,23208,1408,1,1
ITP207_2,9.075957,-1.0,-1.0,-1.0,1215,1234,-1,-1,-1,-1
ITP237^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
