name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
#30_-1_-1_10000000_-1_-1_1000000_2_-1_30_-1_2000_4_0
DAT282^1,0.007568,0.014611,0.001654,0.018,-1,-1,49,3,1,1
ANA071^1,0.008568,0.016340,0.005441,0.029,-1,-1,0,0,1,1
ANA072^1,0.007164,0.013644,0.005180,0.023,-1,-1,0,0,1,1
ITP004^3,0.011828,0.020885,0.003961,0.035,-1,-1,25,7,1,1
SCT177_5,0.028553,0.035100,0.000216,0.045,-1,-1,0,0,0,0
LCL755_5,0.030142,0.042362,0.002788,0.064,-1,-1,0,0,1,1
ANA088^1,0.011621,0.019900,0.007505,0.037,-1,-1,8,2,1,1
SWW504_5,0.030983,0.103229,0.006184,0.134,-1,-1,336,70,1,1
ANA092^1,0.010130,0.016404,0.006665,0.035,-1,-1,0,0,1,1
ITP123^2,0.047766,0.058288,0.006145,0.116,-1,-1,0,0,1,1
ITP101^2,0.078692,0.142597,0.004023,0.190,-1,-1,199,55,1,1
ANA084^1,0.009027,0.014730,0.004359,0.026,-1,-1,0,0,1,1
COM037_5,0.062466,0.123628,0.001324,0.149,-1,-1,196,47,1,1
ANA108^1,0.009578,0.015922,0.004484,0.027,-1,-1,0,0,1,1
DAT124^1,0.120427,0.300436,0.010983,0.447,-1,-1,1887,463,1,1
ITP165^2,0.090148,0.556661,0.025136,1.012,-1,-1,7904,1233,1,1
ITP009^3,0.018875,0.045283,0.011071,0.090,-1,-1,626,24,1,1
COM179^1,0.092688,1.062797,0.028051,1.639,-1,-1,11489,1053,1,1
DAT234^1,0.175321,0.313591,0.000202,7.226,-1,-1,1433,218,0,1
SCT229_5,0.091708,-1.0,0.000301,20.102,-1,-1,-1,-1,0,1
ANA079^1,0.006737,0.012197,0.003493,0.024,-1,-1,8,2,1,1
ITP177^2,0.189299,-1.0,0.000313,20.230,-1,-1,-1,-1,0,1
LCL829_5,0.110364,-1.0,0.000279,27.937,-1,-1,-1,-1,0,1
COM068_5,0.083515,-1.0,0.000278,29.877,-1,-1,-1,-1,0,-1
COM072_5,0.122783,-1.0,0.000286,29.919,-1,-1,-1,-1,0,-1
LCL752_5,0.060935,-1.0,0.000313,29.936,-1,-1,-1,-1,0,-1
LCL820_5,0.159467,-1.0,0.000268,29.957,-1,-1,-1,-1,0,-1
SWV597_5,0.023332,0.041414,0.000187,30.172,-1,-1,80,20,0,-1
SWW546_5,0.024331,0.052967,0.000189,29.794,-1,-1,323,73,0,-1
