name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
#30_-1_2_9_-1_1_6_10_-1_2_1_500_4_10
DAT282^1,-1.0,-1.0,-1.0,0.010,-1,-1,-1,-1,-1,1
SCT177_5,-1.0,-1.0,-1.0,0.032,-1,-1,-1,-1,-1,0
ANA071^1,0.025977,0.001644,0.004218,0.054,1,19,0,0,1,1
ANA072^1,0.024416,0.001725,0.003981,0.053,1,16,0,0,1,1
ANA092^1,0.022991,0.001629,0.009796,0.052,0,19,0,0,1,1
LCL755_5,0.036335,0.005599,0.002801,0.073,0,84,0,0,1,1
ANA084^1,0.015171,0.001004,0.004601,0.043,1,17,0,0,1,1
ANA108^1,0.021263,0.002548,0.002943,0.039,12,13,0,0,1,1
ITP123^2,0.054799,0.014649,0.004350,0.149,0,205,0,0,1,1
SCT229_5,-1.0,-1.0,-1.0,0.093,-1,-1,-1,-1,-1,1
ITP101^2,0.080895,0.063474,0.001756,0.198,64,83,398,55,1,1
COM037_5,0.072254,0.054974,0.000903,0.161,46,31,392,47,1,1
SWW504_5,0.046442,0.109909,0.013011,0.268,14,39,560,126,1,1
ANA079^1,0.016039,0.000924,0.006121,0.045,2,21,16,2,1,1
ITP009^3,0.045097,0.029003,0.010099,0.152,18,58,977,54,1,1
DAT124^1,0.115995,0.282356,0.019984,0.754,272,14,3678,495,1,1
COM179^1,0.137743,0.758825,0.013567,1.166,266,9,20298,545,1,1
ITP158^2,0.191795,9.089151,0.132643,9.938,217,32,49126,499,1,1
ITP037^2,-1.0,-1.0,-1.0,0.156,-1,-1,-1,-1,-1,1
DAT234^1,0.180238,0.234344,0.000281,12.894,217,47,2858,217,0,1
SWV621_5,0.050655,13.714843,0.000412,29.799,15,51,12093,134,0,-1
ITP011_3,0.039640,3.898341,0.000237,29.788,46,47,14794,489,0,-1
SEV462^1,0.198294,0.064641,0.000277,29.804,36,15,2128,240,0,-1
NUM966_5,0.024897,0.026803,0.000245,29.824,28,22,448,56,0,-1
ANA088^1,0.025077,0.002058,0.000243,29.809,2,22,16,2,0,-1
COM026_5,0.054324,0.183136,0.000244,29.843,94,22,4859,482,0,-1
LCL813_5,0.105548,3.839826,0.000473,29.857,13,117,11000,175,0,-1
COM200^1,0.081755,0.155455,0.000258,29.879,101,45,1616,202,0,-1
DAT184^1,0.118324,0.288316,0.000212,29.918,188,6,3994,500,0,-1
SEV492^1,0.016882,0.000714,0.009117,0.045,0,17,0,0,1,1
ITP265^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP004^3,0.026074,0.007360,0.000235,-1.0,15,45,84,12,0,-1
DAT306^1,0.102219,0.010960,0.000226,-1.0,18,8,124,15,0,-1
SWV597_5,0.032609,0.024706,0.000248,-1.0,10,73,160,20,0,-1
LCL752_5,0.073774,-1.0,-1.0,-1.0,9,130,-1,-1,-1,-1
DAT151^1,0.066408,0.038426,0.000259,-1.0,55,67,396,55,0,-1
COM068_5,0.089415,-1.0,-1.0,-1.0,63,43,-1,-1,-1,-1
SWV665_5,0.086918,0.474697,0.000262,-1.0,124,70,8140,500,0,-1
DAT171^1,0.076276,0.058175,0.000268,29.838,49,59,390,51,0,-1
ITP243^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW546_5,0.036845,0.047965,0.000196,29.929,35,3,798,116,0,-1
SEV493^1,0.015555,0.000561,0.009648,0.070,0,21,0,0,1,1
LCL829_5,0.113802,-1.0,-1.0,-1.0,70,25,-1,-1,-1,-1
ITP280^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
COM072_5,0.120799,-1.0,-1.0,-1.0,63,50,-1,-1,-1,-1
LCL837_5,0.074295,0.053634,0.000306,29.918,4,107,904,35,0,-1
SCT250_5,0.101830,28.237489,0.000430,29.950,47,88,53424,497,0,-1
ITP042^2,0.158418,2.693484,0.000266,-1.0,293,71,62696,726,0,-1
ITP018_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP165^2,0.133595,0.637712,0.000264,-1.0,333,23,14095,697,0,-1
LCL820_5,0.236857,-1.0,-1.0,-1.0,33,104,-1,-1,-1,-1
ITP230^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
COM109_5,0.329672,-1.0,-1.0,-1.0,98,30,-1,-1,-1,-1
ITP250^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
PRO022^1,0.264073,0.626813,0.000369,-1.0,475,5,10000,768,0,-1
ITP281^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
COM114_5,0.396914,-1.0,-1.0,-1.0,84,27,-1,-1,-1,-1
ITP177^2,0.207001,-1.0,-1.0,-1.0,296,30,-1,-1,-1,-1
NUM970_5,0.024907,0.033779,0.002791,0.097,13,100,208,26,1,1
ITP121^2,0.053415,0.008913,0.006332,0.139,0,143,0,0,1,1
ITP238^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT205_5,0.216637,-1.0,-1.0,-1.0,75,90,-1,-1,-1,-1
SWW567_5,0.251779,-1.0,-1.0,-1.0,77,39,-1,-1,-1,-1
ITP290^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
NUM985_5,0.043722,0.065033,0.000265,29.889,30,85,480,60,0,-1
ITP192^2,0.117009,0.124186,0.032229,0.615,62,239,1180,290,1,1
ITP168^2,0.140042,0.432987,0.021937,0.878,105,318,10456,843,1,1
DAT229^1,0.146014,0.346693,0.028691,1.129,273,16,5279,511,1,1
COM168^1,0.081230,0.171559,0.000225,29.897,120,78,2510,318,0,-1
DAT192^1,0.155259,0.401422,0.022302,1.161,330,2,6330,663,1,1
ITP019^3,0.010002,0.000611,0.001969,0.023,7,31,0,0,1,1
SWW533_5,0.032791,0.243200,0.016102,0.415,62,4,4326,424,1,1
LCL763_5,0.107651,0.625766,0.027485,1.078,60,110,9820,446,1,1
ITP028^2,0.123967,1.051094,0.034479,1.491,148,13,22405,497,1,1
ITP200^2,0.145976,0.409434,0.029573,0.968,144,131,10968,540,1,1
ITP207_2,4.358268,-1.0,-1.0,-1.0,1215,1229,-1,-1,-1,-1
ITP237^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP279^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP239_2,4.712859,-1.0,-1.0,-1.0,2134,2353,-1,-1,-1,-1
ITP273^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT179_5,0.054317,0.352235,0.013912,0.600,94,3,8252,499,1,1
DAT275^1,0.361459,0.026676,0.000246,-1.0,8,1,436,30,0,-1
ITP237^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW553_5,0.154865,0.288450,0.020729,0.725,86,33,7072,402,1,1
NUM973_5,0.039108,0.075475,0.009106,1.586,35,77,840,105,1,1
ANA106^1,-1.0,-1.0,-1.0,0.065,-1,-1,-1,-1,-1,1
COM203^1,0.111741,23.450998,0.089760,23.899,208,21,103878,498,1,1
SCT189_5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT285^1,0.036488,0.012027,0.000270,29.827,17,28,48,6,0,-1
DAT216^1,0.059268,0.064851,0.000254,30.000,27,149,862,108,0,-1
DAT169^1,0.093224,0.098211,0.000204,-1.0,97,90,642,84,0,-1
SCT243_5,0.124014,-1.0,-1.0,-1.0,46,17,-1,-1,-1,-1
ITP146^2,0.091127,0.042788,0.000219,29.836,0,138,0,0,0,-1
LCL767_5,0.123241,4.947829,0.000343,29.864,121,55,19710,495,0,-1
DAT183^1,0.062504,0.094671,0.000191,29.914,86,1,1206,265,0,-1
SEV472^1,0.121578,0.020428,0.000204,0.171,44,4,162,20,0,1
SWW534_5,0.111043,-1.0,-1.0,-1.0,79,33,-1,-1,-1,-1
COM061_5,0.181803,-1.0,-1.0,-1.0,86,58,-1,-1,-1,-1
ITP011_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT240^1,0.193720,0.734776,0.000436,30.173,264,108,14227,677,0,-1
DAT256^1,0.222456,9.615594,0.000304,-1.0,180,9,91369,482,0,-1
DAT134^1,0.200032,0.605769,0.000256,-1.0,486,4,19139,930,0,-1
PRO021^1,0.259827,0.649364,0.000472,-1.0,333,3,14995,571,0,-1
ITP178^2,0.236860,-1.0,-1.0,-1.0,260,13,-1,-1,-1,-1
DAT127^1,-1.0,-1.0,-1.0,0.028,-1,-1,-1,-1,-1,0
ITP203^2,0.302698,6.600760,0.000395,-1.0,190,150,54663,669,0,-1
DAT215^1,0.150602,0.563687,0.000255,-1.0,199,25,8964,484,0,-1
ANA130^1,0.037556,0.001114,0.000207,29.915,2,33,8,1,0,-1
SWV617_5,0.024448,0.005534,0.000298,-1.0,0,58,0,0,0,-1
ITP015^3,0.015590,0.004216,0.004807,0.044,10,21,50,9,1,1
COM195^1,-1.0,-1.0,-1.0,0.045,-1,-1,-1,-1,-1,1
ITP061^2,0.105848,0.287113,0.000226,-1.0,184,194,4696,555,0,-1
COM078_5,0.120606,-1.0,-1.0,-1.0,63,50,-1,-1,-1,-1
DAT296^1,0.137778,0.019673,0.000246,-1.0,19,6,428,34,0,-1
ITP051^2,-1.0,-1.0,-1.0,0.019,-1,-1,-1,-1,-1,0
DAT143^1,0.062195,0.049304,0.000239,29.990,29,1,2000,284,0,-1
COM099_5,0.270563,-1.0,-1.0,-1.0,108,19,-1,-1,-1,-1
